IDSURVEY CID z MU MUERR
150 ATLAS17axb 0.03120 35.64030 0.14160
1 17280 0.13060 39.15490 0.15090
10 1338675 0.33060 41.28550 0.12360
10 1341370 0.40900 41.82020 0.15230
150 MASTERJ0134 0.04359 36.37960 0.13630
1 12855 0.17076 39.45590 0.14410
15 380046 0.09961 38.40780 0.12270
1 2422 0.26363 40.73850 0.15180
5 2005lu 0.03176 35.95140 0.13870
1 6924 0.32652 41.02910 0.16440
150 ASASSN-16em 0.02400 35.12110 0.14770
10 1335564 0.60770 42.75870 0.18650
1 7475 0.32057 41.08820 0.15540
5 2007as 0.01840 34.26800 0.15910
10 1338128 0.31170 41.13120 0.13590
1 20764 0.16495 39.44340 0.14150
1 17884 0.23789 40.38050 0.14670
1 17258 0.08831 37.82020 0.13700
1 17171 0.15911 39.35520 0.15170
4 05D2nt 0.75899 43.39540 0.14310
150 MASTEROTJ15 0.05673 37.12040 0.14300
65 2008hj 0.03689 35.96600 0.14670
1 4241 0.33063 41.27200 0.17850
63 2001ie 0.03188 35.76550 0.14620
1 14331 0.21990 40.34200 0.14720
1 15901 0.20382 39.99240 0.13720
59 2011dn 0.02539 34.63050 0.18930
1 17435 0.21689 40.17220 0.14510
59 2013fy 0.03040 35.49950 0.23240
1 2330 0.21195 40.48920 0.19030
1 13736 0.14898 39.26310 0.12930
150 SN2017ms 0.02606 35.23370 0.14840
10 1330426 0.25950 40.52620 0.12560
4 04D4jw 0.95888 44.13870 0.19200
1 16333 0.07089 37.32160 0.13470
4 04D3dd 1.00285 44.43250 0.19790
15 110033 0.20483 39.95980 0.16410
150 PSNJ0153424 0.02562 35.28220 0.14220
150 SN2017mf 0.02582 35.42770 0.14270
65 2008ac 0.05354 36.98570 0.15530
50 1991ag 0.01289 33.73460 0.19200
10 1334879 0.63930 42.90210 0.13320
65 2009al 0.02359 35.00750 0.15000
150 PSNJ2352371 0.02603 35.50450 0.14890
51 2008Y 0.07056 37.35220 0.15560
15 050201 0.55021 42.53170 0.15570
10 1257366 0.21140 40.21350 0.16310
10 1253039 0.45350 42.03520 0.13220
64 2005kc 0.01451 34.02870 0.17900
5 2006et 0.02199 34.79720 0.14700
4 05D4dt 0.40549 41.89730 0.12730
56 2015F 0.00506 31.48540 0.25104
5 2007ux 0.03301 35.90310 0.13500
1 5550 0.15511 39.21640 0.12880
10 1336480 0.25600 40.72180 0.15100
1 18740 0.15336 39.19050 0.12500
1 14984 0.18289 39.91960 0.13960
