IDSURVEY CID z MU MUERR
57 2001bg 0.00855 32.80020 0.26960
51 2013fw 0.01679 34.26120 0.14830
57 1999dk 0.01364 33.77580 0.20220
50 2008fv2_rev 0.01091 33.16320 0.27000
1 13830 0.32995 40.90360 0.15650
4 05D3jk 0.73675 43.09860 0.13770
1 19543 0.12186 38.93680 0.12590
4 05D4be 0.53534 42.43460 0.12420
5 2009dc 0.02137 34.43720 0.13430
4 03D4cy 0.92493 43.96040 0.23920
4 05D3mx 0.47065 42.12910 0.11070
5 2007st 0.02071 34.52430 0.14440
15 550041 0.25859 40.58140 0.10000
64 2007cq 0.02510 34.93870 0.12480
10 1257695 0.18375 39.80520 0.09230
4 04D4im 0.74911 43.04430 0.17690
15 360139 0.38600 41.64630 0.10270
5 2006et 0.02198 34.88050 0.16550
15 110033 0.20483 39.96340 0.14020
66 2010dw 0.03902 36.10990 0.13950
150 ASASSN-15np 0.03884 36.15160 0.14610
65 2009ad 0.02844 35.47130 0.10910
1 9467 0.21897 40.28350 0.16750
64 2006en 0.03162 35.79390 0.12690
1 6406 0.12393 38.74720 0.10250
50 1999aw 0.03910 36.32400 0.11030
57 2004at 0.02321 35.03170 0.12050
15 140181 0.10246 38.37460 0.13820
15 420352 0.38895 41.50370 0.12290
150 SN2016aqb 0.06384 37.13480 0.10760
61 1995ac 0.04860 36.43450 0.09470
61 1996Z 0.00817 32.54180 0.33030
56 2005cf 0.00727 32.43610 0.28490
1 19616 0.16471 39.42760 0.09620
1 2440 0.19044 40.01390 0.10950
10 1300912 0.33778 41.29120 0.14320
150 PS15cku 0.02325 35.17700 0.15190
4 05D4cq 0.69918 43.17830 0.14320
100 Aphrodite 1.29911 44.97500 0.17900
15 480064 0.24284 40.68990 0.17520
10 1334620 0.19635 40.02200 0.18000
61 1994M 0.02464 35.06340 0.14190
4 04D1iv 0.99646 43.96210 0.16490
15 100163 0.31782 41.19550 0.13490
4 06D4dh 0.30161 40.98330 0.09120
10 1337325 0.63873 42.91000 0.17900
4 06D2ce 0.82206 43.41110 0.20110
57 SNF20080514-002 0.02219 35.14510 0.12460
5 2009ad 0.02844 35.42960 0.10520
15 440042 0.15921 39.55390 0.13230
56 2008hs 0.02008 34.86300 0.18300
62 2000fa 0.02240 34.90170 0.17230
57 2003fa 0.04056 36.12310 0.09430
1 18749 0.18948 39.82980 0.15330
15 460037 0.30251 41.01440 0.15550
63 2001V 0.01549 33.90030 0.14660
63 2004bg 0.02234 34.98270 0.13020
5 2005bo 0.01463 33.85540 0.25860
51 2005ki 0.02035 34.59780 0.13020
150 ASASSN-15ss 0.03599 36.06730 0.12850
10 1343533 0.36839 41.67570 0.23010
50 2001cn 0.01515 33.99110 0.19260
150 ASASSN-15fa 0.02741 35.65240 0.14950
1 18721 0.40138 41.49940 0.20490
4 05D1if 0.76165 43.24500 0.16390
4 04D3gt 0.45163 41.80970 0.20500
4 05D2ab 0.32446 41.18310 0.08520
56 2013ag 0.02066 34.92190 0.24470
150 ATLAS16bwu 0.07091 37.48710 0.15590
51 2011fe 0.00122 29.11300 1.48970
57 2007af 0.00625 32.17510 0.30440
10 1263715 0.29196 40.88590 0.11420
1 15161 0.24865 40.40610 0.12950
61 1994S 0.01588 34.14270 0.14610
1 17629 0.13658 38.94420 0.13780
1 13578 0.22683 40.18280 0.15890
5 2005ir 0.07520 37.66610 0.10440
1 13354 0.15671 39.29920 0.15020
4 06D4cl 0.99784 43.83200 0.16520
1 16100 0.19407 39.91300 0.18560
4 04D1pp 0.73368 43.09510 0.13510
4 05D2ck 0.69992 43.21130 0.19920
4 04D1ow 0.91354 43.68620 0.16140
50 2002bf 0.02525 35.01740 0.17440
10 1303004 0.29504 40.88890 0.10750
150 ASASSN-16lg 0.02116 34.48590 0.13670
4 06D3gn 0.25080 40.57890 0.15950
1 18486 0.24551 40.22030 0.12880
62 2000cn 0.02303 35.07690 0.15860
1 18030 0.15536 39.49690 0.12620
5 2009Y 0.00996 32.83270 0.23560
51 2013dr 0.01690 34.34300 0.25440
4 06D3ed 0.40463 41.79370 0.11320
4 04D1rx 0.98347 44.06550 0.18060
63 2001az 0.04101 36.41890 0.10440
1 17391 0.18869 39.75340 0.20430
15 160126 0.36034 41.20350 0.15780
10 1334597 0.28905 40.80410 0.10240
4 06D3em 0.69072 43.03590 0.25090
63 2001eh 0.03725 36.09160 0.10340
10 1292195 0.82929 43.64830 0.20040
64 2006N 0.01427 34.01140 0.16520
150 ATLAS17bas 0.02357 34.70090 0.17030
150 PS15bwh 0.07158 37.36600 0.10970
1 6422 0.18515 39.73340 0.10930
5 2005bg 0.02434 35.11650 0.12590
51 2013fa 0.01479 33.88120 0.25860
57 2000dn 0.03148 35.81500 0.15100
1 4679 0.33115 41.06680 0.17500
1 20768 0.23746 40.79150 0.21970
150 AT2017yk 0.04691 36.88990 0.18420
56 2021pit 0.00384 31.11580 0.51150
150 ASASSN-16jf 0.01096 33.69730 0.21230
4 05D4dy 0.80806 43.82710 0.19610
15 530251 0.41140 41.92780 0.17120
15 000011 0.38153 41.78660 0.15090
5 2006py 0.05653 37.00790 0.12070
56 2015F 0.00506 31.53370 0.39280
61 1996X 0.00650 32.07560 0.29700
10 1303883 0.25904 40.66740 0.10000
65 2008hv 0.01375 33.88840 0.15690
64 2006al 0.06886 37.54340 0.12200
15 000215 0.46654 42.17030 0.09520
1 13136 0.37057 41.69150 0.17670
150 SN2016hpx 0.03282 35.75250 0.13240
1 20186 0.35247 41.55870 0.20450
150 PSNJ1602512 0.02052 34.69410 0.21370
1 8495 0.21365 40.09050 0.13680
61 1996bl 0.03459 35.82870 0.10860
56 2015bp 0.00601 32.57960 0.33450
57 2004br 0.02464 34.91800 0.12140
10 1345594 0.42249 41.79910 0.18960
4 05D4cw 0.37353 41.43040 0.08900
15 580104 0.32223 40.98350 0.10730
1 1316 0.21578 40.31020 0.15880
1 19230 0.21967 39.97990 0.17740
1 14984 0.18289 39.91250 0.16020
150 iPTF17dz 0.09293 38.38300 0.19320
1 13727 0.22543 40.20140 0.13990
62 1999ej 0.01502 34.31420 0.16020
57 2006bt 0.03121 35.87560 0.14470
10 1334644 0.28814 40.83160 0.12800
15 020096 0.22578 40.11310 0.12210
10 1316385 0.14737 39.15350 0.12420
4 04D3ks 0.75074 43.01030 0.21390
10 1337272 0.50282 42.27830 0.15140
